URL,Event Image,More Info URL,Event Name,Event Date,Event Venue Name/Address,Event Description
https://patch.com/california/rockridge/calendar/event/20211126/1563583/rockridge-holly-days-celebrations-music-2021-oakland,https://cdn20.patchcdn.com/shutterstock/22511888/20211113/044623/shutterstock-540287113-5___13164623174.jpg,https://www.rockridgedistrict.com/hollydays-events,Rockridge Holly Days Celebrations & Music 2021: Oakland,"Fri, Nov 26, 2021",,"BART Plaza & Rockridge District, Oakland, CA,From ,:,""The Rockridge District offers an exciting mix of established, award-winning legacy businesses and up-and-coming tastemakers in fashion, food, and whole body health. With an emphasis on local sourcing, you can find uniquely Oakland- and California-made merchandise, curated by shop owners who love Oakland and welcome you to enjoy the best of what The Town has to offer.  ,""Our guide will feature a variety of gift ideas, check back throughout the season. You can buy online directly from Rockridge merchants. ,""It’s just a sampling of the , of great gifts, flavors, and holiday experiences you can discover when you visit this beautiful neighborhood. ,""Still looking? Explore our ,, ,, or ,."",----------------------"
https://patch.com/california/alameda/calendar/event/20211128/1522815/alameda-women-artists-pop-up-art-exhibit,https://patch.com/img/cdn20/users/25600834/20211102/015132/758-v0___02135127002.jpg,https://www.alamedawomenartists.org,Alameda Women Artist's Pop Up Art Exhibit,"Sun, Nov 28, 2021","South Shore Shopping Center, 2210 South Shore, Alameda, CA 94501-5723","Opening Reception Sat, Nov 6, 12-2pm; Closing Reception Sun, Nov 28, 12-2pm; Exhibit Nov 5-21, Fri-Sun 11am-4pm; Nov 26-27 11am-2pm ,The Alameda Women's Art exhibition, ""Pop-Up"" will run from November 5 through November 28, 2021 with the work of eight local artists exhibited and for sale in a vacant store offered for their use by South Shore Center in Alameda. The public is invited. , ,The opening reception is at the 2210 South Shore Center in Alameda on Saturday, November 6 from 12pm to 2pm to provide guests and gallery visitors an opportunity to mingle with the artists hearing about their creative processes and to buy their artwork. Guests will also be able to bid on their donated art in a Silent AUCTION. Gallery hours in November include Fridays, Saturdays, and Sundays from 11am to 4 pm; visitors may view and purchase art pieces and bid on pieces in the Silent AUCTION. The proceeds from the auction provide a scholarship to nurture and promote an artist in Alameda. The closing reception is on Sunday, November 28 from 12pm to 2pm to provide last-minute art sales, auction bids, and to pick up the art pieces purchased.  , ,Artists featured are   ,Bonnie Randall Boller - Encaustic and Altered Photography  ,Miriam Infinger - Soft Pastels and Acrylic ,Jeanie Moran - Mixed Media  ,Thelma Richard - Oil ,N. Teddy Goldsworthy-hanner - Encaustic Painting ,Joy Davis - Acrylics on Canvas ,Bobbie Kinkead - Written Words - book ,Karen Lee - Oils on Canvas ,Glenna Mills - Oils on Canvas   ,The art pieces express the artist's perceptions at this time in the media she preferred.  ,Alameda Women Artists (AWA) is an organization dedicated to fellowship among artists for artistic and personal growth, with professional exhibitions and sales of art.,Free,Presented by Alameda Women Artists., , ,510-387-4497 , "
https://patch.com/california/sanleandro/calendar/event/20211128/1535773/10th-annual-nutcracker-pinata,https://patch.com/img/cdn20/users/23539702/20211105/064709/0001-9621867779-20211008-200705-0000___05184706952.jpg,https://www.eventbrite.com/e/ballet-folklorico-mexico-danza-presents-nutcracker-pinata-tickets-185174932207?aff=ebdsoporgprofile,10th Annual Nutcracker Piñata,"Sun, Nov 28, 2021","San Leandro High School Arts Education Center, 2250 Bancroft Ave, San Leandro, CA, 94577","This Holiday Season, experience the beauty and professionalism of Ballet Folklorico Mexico Danza’s cast of dancers in our 10th annual Nutcracker Piñata, a national holiday tradition with a fusion of Mexican folklore. Come and join Clara as she takes a journey through the beautiful states of Mexico. You will experience exhilarating dances and magical atmosphere.,La historia de ‘Cascanueces’ comienza con una fiesta en la casa de Clara, una niña triste que no ha recibido regalos. Drosselmeyer, el padrino, le entrega un muñeco con uniforme de soldado, el que su hermanito Fritz quiebra. A medianoche, cuando Clara duerme, el muñeco cascanueces cobra vida y se genera una pelea entre el Rey de los Ratones, su tropa y el cascanueces con sus soldados. El cascanues lleva a Clara por un viaje a diferentes partes de Mexico, donde encuentran bailes bellos y celebraciones exitantes."
https://patch.com/california/castrovalley/calendar/event/20211201/1555464/chanukah-fest-concert-giant-menorah-2021-castro-valley,https://cdn20.patchcdn.com/shutterstock/22511888/20211111/115929/shutterstock-538072945-2___11115929555.jpg,https://www.facebook.com/events/627121561803672?acontext=%7B%22event_action_history%22%3A[%7B%22surface%22%3A%22page%22%7D]%7D,"Chanukah Fest, Concert & Giant Menorah 2021: Castro Valley","Wed, Dec 1, 2021",,"Creekside Middle School, 19722 Center St., Castro Valley, CA,From ,""Join us for an Outdoors Chanukah Concert! By the 8th Day Band! Back by popular demand!,""Giant Menorah! Individually packed Latkes & Doughnuts! And of course, an AMAZING LIVE Music Concert!,""Free of charge, donations are appreciated.,""Register NOW at ,---------------"
https://patch.com/california/alameda/calendar/event/20211128/1555449/community-chanukah-celebration-menorah-lighting-2021-alameda,https://cdn20.patchcdn.com/shutterstock/22511888/20211111/114738/shutterstock-327264731___11114738344.jpg,https://jewishalameda.com/chanukah,Community Chanukah Celebration & Menorah Lighting 2021: Alameda,"Sun, Nov 28, 2021",,"Rittler Park, 1400 Otis Drive, Alameda, CA,From ,:,""Celebrate Jewish pride and unity this Chanukah together with local dignitaries and community leaders!,""Alameda's FIFTH annual Public Menorah Lighting will be a SPECTACULAR night out with family and friends.,""FEATURING A MEGA 9-FOOT MENORAH MADE ENTIRELY OUT OF LEGOS.,""You will enjoy hot potato latkes, fresh donuts, chocolate 'gelt' and an LED+FIRE juggling show! Children will have a blast with the balloon twisting and bouncing on the inflatable gym and slides. ,""Make your own Menorah and dance to the Chanukah music. This event is for all ages. Fun for the entire family!"",PLEASE RSVP: "
https://patch.com/california/san-francisco/calendar/event/20211128/1576113/bill-graham-menorah-day-chanukah-2021-union-square-san-francisco,https://cdn20.patchcdn.com/shutterstock/22511888/20211117/063305/shutterstock-748086616-1___17183305561.jpg,https://www.billgrahammenorah.org/,"'Bill Graham Menorah Day' Chanukah 2021: Union Square, San Francisco","Sun, Nov 28, 2021",,"Union Square, San Francisco, CA,From  ,:,""Join us as we light the Bill Graham Menorah, Lighting it up since 1975! ,""This is our 46th Year!"
https://patch.com/california/berkeley/calendar/event/20211128/1563482/hanukkah-farm-festival-2021-urban-adamah-berkeley,https://cdn20.patchcdn.com/shutterstock/22511888/20211113/125047/shutterstock-1205866240___13125047192.jpg,https://urban-adamah.secure.force.com/WebEvent?eid=hanukkah-farm-festival-w-eden-village-west-20211128,"Hanukkah Farm Festival 2021:  Urban Adamah, Berkeley","Sun, Nov 28, 2021",,"1151 Sixth St., Berkeley, CA,From , and ,:,""Bring in the first night of , with , and ,! Spend the afternoon on the farm exploring the gardens and welcoming in the festival of lights. ,""This interactive celebration will include apple cider pressing, beeswax candle-making workshops, baking tutorials, music, and so much more!,""Bring the whole family and stay until night falls, when we will light the first candle of the , together in community. This event is open to all ages, but workshops will be geared towards children ages 6 – 12 and their parents. ,""Looking for hands-on opportunities for adults? Check out ,Sliding Scale: $0 to $54 per person."
https://patch.com/california/alameda/calendar/event/20211127/1584254/aviation-career-event-uss-hornet-sea-air-and-space-museum,,,"Aviation Career Event - USS Hornet - Sea, Air and Space Museum","Sat, Nov 27, 2021","USS Hornet - Sea, Air and Space Museum, 707 W Hornet Ave, Alameda, CA, 94501",
https://patch.com/california/alameda/calendar/event/20211127/1572902/comedy-oakland-live-sat-nov-27-2021,https://cdn20.patchcdn.com/users/22151002/20211117/024420/comedy-oakland-crowd-photo-washington-inn___17024417631.jpg,https://go.evvnt.com/940124-0?pid=4509,Comedy Oakland Live - Sat Nov 27 2021,"Sat, Nov 27, 2021","The Washington Inn, 495 10th St, Oakland, California, 94607, United States","Winner of 2016, 2018, 2019, 2020, and 2021 ""Best Place for Comedy"" - East Bay Express Reader's Poll, Comedy Oakland is back live again!,General Admission: USD 20.00,,Private Table for 2: USD 50.00,Arts | Performing Arts | Comedy, 8:00 pm to 9:30 pm"
https://patch.com/california/los-angeles/calendar/event/20211129/1595121/black-friday-to-cyber-monday-sale-on-virtual-running-and-walking-events,https://cdn20.patchcdn.com/users/25602251/20211124/013317/black-friday___24133315968.jpg,https://www.virtualrunevents.com/black-friday-to-cyber-monday-sale-biggest-savings-of-the-year/,Black Friday to Cyber Monday Sale on Virtual Running and Walking Events,"Mon, Nov 29, 2021",CA,"See Our Black Friday to Cyber Monday Sale ,Check out amazing deals on virtual running and walking events! Participate from home, or wherever you want, with your friends, kids and neighbors! Plus, we have some great giveaways!,What is a virtual race? A virtual race is a race that can be run (or walked) from any location you choose. You can run, jog, or walk on the road, on the trail, on the treadmill, at the gym or on the track (or even at another race). You get to run your own race, at your own pace, and time it yourself. Running and walking on your own, or with friends! And your medal will be shipped directly to you. Complete a virtual 5Ks, 10K, half marathon and more! Each of our races benefits a different charity. We’ve already raised more than $892,045 for charities from running events on this website! We are making a difference…one race at a time."
